X,Y,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,gpxx_WaypointExtension,wptx1_WaypointExtension,ctx_CreationTimeExtension
145.983883040026,-37.7844939753413,657.36261,2017/10/07 11:55:24+00,,,EPH12GGV000000,IMG 1638,IMG 1638,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-10-07T11:55:24Z</ctx:CreationTime>      
145.984784010798,-37.7845799736679,674.722473,2017/10/07 12:12:13+00,,,EPH13GGV,IMG 1649,IMG 1649,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-10-07T12:12:13Z</ctx:CreationTime>      
145.984784010798,-37.7845799736679,674.722473,2017/10/07 12:12:13+00,,,EPH13GGV000000,IMG 1649,IMG 1649,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-10-07T12:12:13Z</ctx:CreationTime>      
145.985824959353,-37.7852449938655,699.751892,2017/10/07 13:26:16+00,,,EPH14GGV,IMG 4282,IMG 4282,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-10-07T13:26:16Z</ctx:CreationTime>      
145.985824959353,-37.7852449938655,699.751892,2017/10/07 13:26:16+00,,,EPH14GGV000000,IMG 4282,IMG 4282,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-10-07T13:26:16Z</ctx:CreationTime>      
145.986518980935,-37.7853549644351,717.419434,2017/10/07 13:51:00+00,,,EPH15GGV,IMG 4289,IMG 4289,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-10-07T13:51:00Z</ctx:CreationTime>      
145.986518980935,-37.7853549644351,717.419434,2017/10/07 13:51:00+00,,,EPH15GGV000000,IMG 4289,IMG 4289,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-10-07T13:51:00Z</ctx:CreationTime>      
145.987560013309,-37.7849060297012,743.955933,2017/10/07 14:01:16+00,,,EPH16GGV,IMG 4294,IMG 4294,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-10-07T14:01:16Z</ctx:CreationTime>      
145.987609969452,-37.7849259786308,743.297729,2017/10/07 14:05:50+00,,,EPH17GGV,IMG 4297,IMG 4297,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-10-07T14:05:50Z</ctx:CreationTime>      
145.988672040403,-37.784472014755,767.340088,2017/10/07 14:35:25+00,,,EPH18GGV,IMG 4309,IMG 4309,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-10-07T14:35:25Z</ctx:CreationTime>      
145.988672040403,-37.784472014755,767.340088,2017/10/07 14:35:25+00,,,EPH18GGV000000,IMG 4309,IMG 4309,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-10-07T14:35:25Z</ctx:CreationTime>      
145.986736994237,-37.7829370368272,747.026062,2017/10/07 14:56:39+00,,,EPH19GGV,IMG 4314,IMG 4314,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-10-07T14:56:39Z</ctx:CreationTime>      
145.986736994237,-37.7829370368272,747.026062,2017/10/07 14:56:39+00,,,EPH19GGV000000,IMG 4314,IMG 4314,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-10-07T14:56:39Z</ctx:CreationTime>      
146.222081976011,-37.9046049714088,530.376404,2018/06/22 11:51:56+00,,,FBT01GGV,6647,6647,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2018-06-22T11:51:56Z</ctx:CreationTime>      
146.222461005673,-37.9085000418127,505.589996,2018/06/22 13:13:17+00,,,FBT04GGV,6650,6650,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2018-06-22T13:13:17Z</ctx:CreationTime>      
146.222858978435,-37.9060309845954,538.197754,2018/06/22 13:39:03+00,,,FBT05GGV,6651,6651,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2018-06-22T13:39:03Z</ctx:CreationTime>      
145.997145976871,-37.7728940080851,807.150452,2018/03/20 11:35:56+00,,,FFF03GGV,1785,1785,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2018-03-20T11:35:56Z</ctx:CreationTime>      
145.988215981051,-37.7798560168594,824.740112,2018/03/20 14:33:58+00,,,FFF04GGV,,,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2018-03-20T14:33:58Z</ctx:CreationTime>      
145.931347031146,-37.7686380129308,758.328918,2019/01/08 11:44:01+00,,,FIG01,0481,0481,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2019-01-08T11:44:01Z</ctx:CreationTime>      
145.931151984259,-37.7686390187591,758.040527,2019/01/08 11:45:33+00,,,FIG02,0476,0476,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2019-01-08T11:45:33Z</ctx:CreationTime>      
145.93075199984,-37.7673369739205,748.492676,2019/01/08 12:11:29+00,,,FIG03GGV,NA,NA,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2019-01-08T12:11:29Z</ctx:CreationTime>      
145.539480987936,-37.4519630055875,805.947144,2017/04/07 13:59:14+00,,,FLI01GGV090080,,,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-04-07T13:59:14Z</ctx:CreationTime>      
146.222253972664,-37.9045380000025,558.298096,2018/08/28 10:56:27+00,,,FLR02GGV,6948,6948,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2018-08-28T10:56:27Z</ctx:CreationTime>      
145.624536015093,-37.5594879873097,525.194092,2017/09/19 11:15:46+00,,,FLU01GGV000000,IMG 3848,IMG 3848,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-09-19T11:15:46Z</ctx:CreationTime>      
145.623899996281,-37.56187800318,549.049438,2017/09/08 16:47:12+00,,,FLU01GGV100040,IMG3589,IMG3589,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-09-08T16:47:12Z</ctx:CreationTime>      
145.624242983758,-37.5603479705751,536.444031,2017/09/19 11:24:45+00,,,FLU02GGV000000,IMG 3851,IMG 3851,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-09-19T11:24:45Z</ctx:CreationTime>      
145.623941989616,-37.5607770401984,537.568176,2017/09/19 11:31:46+00,,,FLU03GGV000000,IMG 3863,IMG 3863,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-09-19T11:31:46Z</ctx:CreationTime>      
145.62449997291,-37.5606799777597,536.784241,2017/09/19 11:44:00+00,,,FLU04GGV000000,IMG 3875,IMG 3875,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-09-19T11:44:00Z</ctx:CreationTime>      
145.623487019911,-37.5622720364481,551.244385,2017/09/19 11:56:14+00,,,FLU05GGV000000,IMG 3883,IMG 3883,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-09-19T11:56:14Z</ctx:CreationTime>      
145.623487019911,-37.5622710306197,551.82019,2017/09/19 11:58:23+00,,,FLU06GGV000000,,,,,,,,,,Big Game,user,,,,,,,,        <gpxx:DisplayMode>SymbolAndName</gpxx:DisplayMode>      ,        <wptx1:DisplayMode>SymbolAndName</wptx1:DisplayMode>      ,        <ctx:CreationTime>2017-09-19T11:58:23Z</ctx:CreationTime>      
