lng,lat,UNIQUE_ID,Sighting Order,RECORD_ID,STATUS,SOURCE,STARTDATE,SRC_GROUP,LBP_USAGE,LBPBUFF_ID,RECORDTYPE,XCOORD,YCOORD,Method,species,common name
145.767667,-37.80436701,620,#49,8436798,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),19/9/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT339.2,New (verified) record post-February 2014,145.767667,-37.804367,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.77025,-37.80424999,621,#50,8436799,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),19/9/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT339.3,New (verified) record post-February 2014,145.77025,-37.80425,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.7706,-37.8228,641,#70,8491856,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),19/10/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT332.5,New (verified) record post-February 2014,145.7706,-37.8228,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.772667,-37.80401698,622,#51,8436800,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),19/9/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT339.4,New (verified) record post-February 2014,145.772667,-37.804017,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.773383,-37.81831701,674,#77,8502549,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),17/11/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT360.1,New (verified) record post-February 2014,145.773383,-37.818317,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.7771667,-37.82693333,561,#10,8436752,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),27/7/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT30.2,New (verified) record post-February 2014,145.777167,-37.826933,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.7803,-37.80981698,624,#53,8436802,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),19/9/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT340.2,New (verified) record post-February 2014,145.7803,-37.809817,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.78115,-37.818283,567,#12,8436754,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),2/8/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT315.1,New (verified) record post-February 2014,145.78115,-37.818283,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.782917,-37.810583,623,#52,8436801,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),19/9/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT340.1,New (verified) record post-February 2014,145.782917,-37.810583,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
145.787483,-37.81290003,625,#54,8436803,VERIFIED,VICTORIAN BIODIVERSITY ATLAS (DELWP),19/9/16,Community group/general public,"200m radius timber harvest exclusion zone applied (LBPAG 2014, Rec. 1.1)",BT322.2,New (verified) record post-February 2014,145.787483,-37.8129,Active Search,Gymnobelideus leadbeateri,Leadbeater's possum
